Especes_Anemone,Images_Anemone
Anemone_nemorosa,4236
Anemone_hupehensis,2751
Anemone_hepatica,2375
Anemone_alpina,1686
Anemone_coronaria,847
Anemone_pulsatilla,808
Anemone_ranunculoides,599
Anemone_sylvestris,591
Anemone_blanda,570
Anemone_hortensis,439
Anemone_narcissiflora,254
Anemone_vernalis,225
Anemone_canadensis,175
Anemone_apennina,155
Anemone_rubra,91
Anemone_virginiana,70
Anemone_baldensis,45
Anemone_trifolia,44
Anemone_tomentosa,36
Anemone_pratensis,35
Anemone_x_hybrida,29
Anemone_halleri,22
Anemone_patens,21
Anemone_palmata,21
Anemone_montana,18
Anemone_vitifolia,8
Anemone_multifida,7
Anemone_pavoniana,4
